2024-07-23T16:24:27.039059Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210745,"p":"3473.95","q":"5.465","X":"MARKET","m":false}}
2024-07-23T16:24:27.039099Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210746,"p":"3473.95","q":"5.788","X":"MARKET","m":false}}
2024-07-23T16:24:27.039130Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210747,"p":"3473.95","q":"0.972","X":"MARKET","m":false}}
2024-07-23T16:24:27.039163Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210748,"p":"3473.95","q":"0.119","X":"MARKET","m":false}}
2024-07-23T16:24:27.039195Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210749,"p":"3473.95","q":"1.694","X":"MARKET","m":false}}
2024-07-23T16:24:27.039228Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210750,"p":"3473.95","q":"0.093","X":"MARKET","m":false}}
2024-07-23T16:24:27.039261Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210751,"p":"3473.95","q":"0.786","X":"MARKET","m":false}}
2024-07-23T16:24:27.039293Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210752,"p":"3473.95","q":"0.010","X":"MARKET","m":false}}
2024-07-23T16:24:27.039325Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210753,"p":"3473.96","q":"0.015","X":"MARKET","m":false}}
2024-07-23T16:24:27.039362Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210754,"p":"3473.96","q":"0.006","X":"MARKET","m":false}}
2024-07-23T16:24:27.039394Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210755,"p":"3473.97","q":"0.006","X":"MARKET","m":false}}
2024-07-23T16:24:27.039426Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210756,"p":"3474.00","q":"0.015","X":"MARKET","m":false}}
2024-07-23T16:24:27.039458Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210757,"p":"3474.04","q":"0.090","X":"MARKET","m":false}}
