2024-07-23T16:32:10.857239Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530918,"T":1721723530918,"s":"ETHUSDT","t":4229296425,"p":"3510.80","q":"1.600","X":"MARKET","m":false}}
2024-07-23T16:32:10.857271Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530918,"T":1721723530918,"s":"ETHUSDT","t":4229296426,"p":"3510.80","q":"0.800","X":"MARKET","m":false}}
2024-07-23T16:32:10.857303Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530918,"T":1721723530918,"s":"ETHUSDT","t":4229296427,"p":"3510.80","q":"3.440","X":"MARKET","m":false}}
2024-07-23T16:32:10.862002Z info 8174 {"stream":"xrpusdt@trade","data":{"e":"trade","E":1721723530923,"T":1721723530923,"s":"XRPUSDT","t":1535426577,"p":"0.5994","q":"499.9","X":"MARKET","m":true}}
2024-07-23T16:32:10.862042Z info 8174 {"stream":"xrpusdt@trade","data":{"e":"trade","E":1721723530923,"T":1721723530923,"s":"XRPUSDT","t":1535426578,"p":"0.5994","q":"250.5","X":"MARKET","m":true}}
2024-07-23T16:32:10.862074Z info 8174 {"stream":"xrpusdt@trade","data":{"e":"trade","E":1721723530923,"T":1721723530923,"s":"XRPUSDT","t":1535426579,"p":"0.5994","q":"559.2","X":"MARKET","m":true}}
2024-07-23T16:32:10.898537Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530959,"T":1721723530959,"s":"ETHUSDT","t":4229296428,"p":"3510.79","q":"2.105","X":"MARKET","m":true}}
2024-07-23T16:32:10.911279Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530971,"T":1721723530971,"s":"ETHUSDT","t":4229296429,"p":"3510.80","q":"0.800","X":"MARKET","m":false}}
2024-07-23T16:32:10.911320Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530971,"T":1721723530971,"s":"ETHUSDT","t":4229296430,"p":"3510.80","q":"0.400","X":"MARKET","m":false}}
2024-07-23T16:32:10.911328Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530971,"T":1721723530971,"s":"ETHUSDT","t":4229296431,"p":"3510.80","q":"1.600","X":"MARKET","m":false}}
2024-07-23T16:32:10.911358Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530971,"T":1721723530971,"s":"ETHUSDT","t":4229296432,"p":"3510.80","q":"2.006","X":"MARKET","m":false}}
2024-07-23T16:32:10.911380Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530971,"T":1721723530971,"s":"ETHUSDT","t":4229296433,"p":"3510.80","q":"1.600","X":"MARKET","m":false}}
2024-07-23T16:32:10.911410Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530971,"T":1721723530971,"s":"ETHUSDT","t":4229296434,"p":"3510.82","q":"0.366","X":"MARKET","m":false}}
2024-07-23T16:32:10.911442Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530971,"T":1721723530971,"s":"ETHUSDT","t":4229296435,"p":"3510.82","q":"0.366","X":"MARKET","m":false}}
2024-07-23T16:32:10.911474Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530972,"T":1721723530971,"s":"ETHUSDT","t":4229296436,"p":"3510.82","q":"0.366","X":"MARKET","m":false}}
2024-07-23T16:32:10.911483Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530972,"T":1721723530971,"s":"ETHUSDT","t":4229296437,"p":"3510.82","q":"0.366","X":"MARKET","m":false}}
2024-07-23T16:32:10.911504Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530972,"T":1721723530971,"s":"ETHUSDT","t":4229296438,"p":"3510.82","q":"0.366","X":"MARKET","m":false}}
2024-07-23T16:32:10.911525Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530972,"T":1721723530971,"s":"ETHUSDT","t":4229296439,"p":"3510.82","q":"0.322","X":"MARKET","m":false}}
2024-07-23T16:32:10.911531Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530972,"T":1721723530971,"s":"ETHUSDT","t":4229296440,"p":"3510.82","q":"0.020","X":"MARKET","m":false}}
2024-07-23T16:32:10.911989Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530973,"T":1721723530973,"s":"ETHUSDT","t":4229296441,"p":"3510.82","q":"0.430","X":"MARKET","m":false}}
2024-07-23T16:32:10.915159Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530976,"T":1721723530976,"s":"ETHUSDT","t":4229296442,"p":"3510.82","q":"1.061","X":"MARKET","m":false}}
2024-07-23T16:32:10.915195Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530976,"T":1721723530976,"s":"ETHUSDT","t":4229296443,"p":"3510.82","q":"0.626","X":"MARKET","m":false}}
2024-07-23T16:32:10.915229Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530976,"T":1721723530976,"s":"ETHUSDT","t":4229296444,"p":"3510.82","q":"0.626","X":"MARKET","m":false}}
2024-07-23T16:32:10.915260Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530976,"T":1721723530976,"s":"ETHUSDT","t":4229296445,"p":"3510.82","q":"0.010","X":"MARKET","m":false}}
2024-07-23T16:32:10.915291Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530976,"T":1721723530976,"s":"ETHUSDT","t":4229296446,"p":"3510.82","q":"0.007","X":"MARKET","m":false}}
2024-07-23T16:32:10.917477Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530978,"T":1721723530978,"s":"ETHUSDT","t":4229296447,"p":"3510.86","q":"0.010","X":"MARKET","m":false}}
2024-07-23T16:32:10.917521Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530978,"T":1721723530978,"s":"ETHUSDT","t":4229296448,"p":"3510.87","q":"0.355","X":"MARKET","m":false}}
2024-07-23T16:32:10.935916Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530997,"T":1721723530997,"s":"ETHUSDT","t":4229296449,"p":"3510.87","q":"0.011","X":"MARKET","m":false}}
2024-07-23T16:32:10.935952Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530997,"T":1721723530997,"s":"ETHUSDT","t":4229296450,"p":"3510.87","q":"0.366","X":"MARKET","m":false}}
2024-07-23T16:32:10.935985Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530997,"T":1721723530997,"s":"ETHUSDT","t":4229296451,"p":"3510.87","q":"0.309","X":"MARKET","m":false}}
2024-07-23T16:32:10.936018Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530997,"T":1721723530997,"s":"ETHUSDT","t":4229296452,"p":"3510.87","q":"0.007","X":"MARKET","m":false}}
2024-07-23T16:32:10.936050Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723530997,"T":1721723530997,"s":"ETHUSDT","t":4229296453,"p":"3510.87","q":"0.057","X":"MARKET","m":false}}
2024-07-23T16:32:10.949668Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531011,"T":1721723531011,"s":"ETHUSDT","t":4229296454,"p":"3510.87","q":"0.626","X":"MARKET","m":false}}
2024-07-23T16:32:10.949703Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531011,"T":1721723531011,"s":"ETHUSDT","t":4229296455,"p":"3510.87","q":"0.204","X":"MARKET","m":false}}
2024-07-23T16:32:10.953683Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531014,"T":1721723531014,"s":"ETHUSDT","t":4229296456,"p":"3510.88","q":"0.006","X":"MARKET","m":false}}
2024-07-23T16:32:10.953723Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531014,"T":1721723531014,"s":"ETHUSDT","t":4229296457,"p":"3510.89","q":"0.005","X":"MARKET","m":false}}
2024-07-23T16:32:10.953753Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531014,"T":1721723531014,"s":"ETHUSDT","t":4229296458,"p":"3510.89","q":"0.001","X":"MARKET","m":false}}
2024-07-23T16:32:10.953784Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531014,"T":1721723531014,"s":"ETHUSDT","t":4229296459,"p":"3510.90","q":"0.100","X":"MARKET","m":false}}
2024-07-23T16:32:10.958610Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531020,"T":1721723531019,"s":"ETHUSDT","t":4229296460,"p":"3510.94","q":"0.054","X":"MARKET","m":false}}
2024-07-23T16:32:10.961438Z info 8174 {"stream":"xrpusdt@trade","data":{"e":"trade","E":1721723531022,"T":1721723531022,"s":"XRPUSDT","t":1535426580,"p":"0.5995","q":"328.2","X":"MARKET","m":false}}
2024-07-23T16:32:10.963996Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531024,"T":1721723531024,"s":"ETHUSDT","t":4229296461,"p":"3510.94","q":"0.007","X":"MARKET","m":false}}
2024-07-23T16:32:10.964034Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531024,"T":1721723531024,"s":"ETHUSDT","t":4229296462,"p":"3510.94","q":"0.200","X":"MARKET","m":false}}
2024-07-23T16:32:10.969961Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531032,"T":1721723531031,"s":"ETHUSDT","t":4229296463,"p":"3510.93","q":"0.056","X":"MARKET","m":true}}
2024-07-23T16:32:11.027777Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531089,"T":1721723531089,"s":"ETHUSDT","t":4229296464,"p":"3510.93","q":"0.144","X":"MARKET","m":true}}
2024-07-23T16:32:11.027821Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531089,"T":1721723531089,"s":"ETHUSDT","t":4229296465,"p":"3510.93","q":"1.507","X":"MARKET","m":true}}
2024-07-23T16:32:11.034298Z info 8174 {"stream":"xrpusdt@trade","data":{"e":"trade","E":1721723531095,"T":1721723531095,"s":"XRPUSDT","t":1535426581,"p":"0.5995","q":"414.9","X":"MARKET","m":false}}
2024-07-23T16:32:11.072553Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531134,"T":1721723531134,"s":"ETHUSDT","t":4229296466,"p":"3510.94","q":"0.085","X":"MARKET","m":false}}
2024-07-23T16:32:11.073999Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531135,"T":1721723531135,"s":"ETHUSDT","t":4229296467,"p":"3510.94","q":"0.388","X":"MARKET","m":false}}
2024-07-23T16:32:11.074035Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531135,"T":1721723531135,"s":"ETHUSDT","t":4229296468,"p":"3510.94","q":"0.200","X":"MARKET","m":false}}
2024-07-23T16:32:11.074065Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531135,"T":1721723531135,"s":"ETHUSDT","t":4229296469,"p":"3510.94","q":"0.007","X":"MARKET","m":false}}
2024-07-23T16:32:11.074075Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531135,"T":1721723531135,"s":"ETHUSDT","t":4229296470,"p":"3510.94","q":"0.019","X":"MARKET","m":false}}
2024-07-23T16:32:11.077300Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531138,"T":1721723531138,"s":"ETHUSDT","t":4229296471,"p":"3510.94","q":"0.061","X":"MARKET","m":false}}
2024-07-23T16:32:11.077348Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531138,"T":1721723531138,"s":"ETHUSDT","t":4229296472,"p":"3510.94","q":"0.489","X":"MARKET","m":false}}
2024-07-23T16:32:11.077381Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531138,"T":1721723531138,"s":"ETHUSDT","t":4229296473,"p":"3510.94","q":"1.511","X":"MARKET","m":false}}
2024-07-23T16:32:11.077388Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531138,"T":1721723531138,"s":"ETHUSDT","t":4229296474,"p":"3510.94","q":"0.263","X":"MARKET","m":false}}
2024-07-23T16:32:11.077421Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531138,"T":1721723531138,"s":"ETHUSDT","t":4229296475,"p":"3510.94","q":"0.626","X":"MARKET","m":false}}
2024-07-23T16:32:11.077427Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531138,"T":1721723531138,"s":"ETHUSDT","t":4229296476,"p":"3510.94","q":"0.200","X":"MARKET","m":false}}
2024-07-23T16:32:11.077447Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531138,"T":1721723531138,"s":"ETHUSDT","t":4229296477,"p":"3510.95","q":"0.006","X":"MARKET","m":false}}
2024-07-23T16:32:11.077454Z info 8174 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723531138,"T":1721723531138,"s":"ETHUSDT","t":4229296478,"p":"3510.96","q":"0.006","X":"MARKET","m":false}}
